"Time(input)","Time(AQMS)","Longitude","Latitude","AQHI","AR%","AR%(PM)","AR%(NO2)","AR%(O3)","AR%(SO2)","PM10(ug/m3)","PM2.5(ug/m3)","NO2(ug/m3)","O3(ug/m3)","SO2(ug/m3)"
"2024063023","2024063023",114.18158170,22.25054220,2.000000,3.213721,0.510242,0.403985,2.254889,0.044605,18.066322,5.157111,11.090284,40.862190,3.966660
"2024070108","2024070108",114.18153880,22.25054860,2.000000,3.519889,0.545978,0.563579,2.357786,0.052546,19.361355,6.922817,15.449382,45.902550,3.779657
"2024070112","2024070112",114.18154710,22.25056710,3.000000,4.303501,0.624275,0.524432,3.106672,0.048123,21.723339,7.809542,9.628424,66.599495,3.087737
"2024070112","2024070112",114.18133170,22.25047500,3.000000,4.303501,0.624275,0.524432,3.106672,0.048123,21.723339,7.809542,9.628424,66.599495,3.087737
"2024070112","2024070112",114.18088940,22.25009670,3.000000,4.407910,0.657595,0.612838,3.089360,0.048118,22.851891,8.548848,11.542570,66.267471,3.093978
"2024070112","2024070112",114.17894280,22.24960210,3.000000,4.420748,0.661852,0.709637,3.004027,0.045232,23.064358,8.876955,13.950040,64.444099,2.894644
"2024070112","2024070112",114.17881700,22.24941410,3.000000,4.413592,0.656698,0.650219,3.061409,0.045266,22.891794,8.761972,12.584768,65.591156,2.898394
"2024070112","2024070112",114.17796890,22.24831910,3.000000,4.343157,0.632566,0.547484,3.117539,0.045569,22.015648,8.182628,10.222392,66.707191,2.927208
"2024070112","2024070112",114.17783070,22.24842260,3.000000,4.288109,0.614637,0.507353,3.121081,0.045038,21.386938,7.799744,9.305505,66.791779,2.888041
"2024070112","2024070112",114.17748260,22.24849630,3.000000,4.339548,0.629243,0.550312,3.115801,0.044191,21.893381,8.195404,10.244741,66.686295,2.826798
"2024070112","2024070112",114.17706370,22.24851300,3.000000,4.356290,0.633871,0.578571,3.100442,0.043405,22.049929,8.355186,10.864269,66.384521,2.770041
"2024070112","2024070112",114.17669460,22.24849900,3.000000,4.362205,0.635546,0.603837,3.080131,0.042691,22.112297,8.449251,11.451349,65.969391,2.718621
"2024070112","2024070112",114.17635830,22.24863570,3.000000,4.421117,0.652965,0.662439,3.063963,0.041750,22.714914,8.907982,12.745220,65.642387,2.650370
"2024070112","2024070112",114.17608600,22.24886880,3.000000,4.431205,0.654400,0.666585,3.069351,0.040870,22.773243,9.000342,12.838820,65.739601,2.586676
"2024070112","2024070112",114.17604180,22.24875400,3.000000,4.834162,0.778199,0.954008,3.061082,0.040874,27.125353,11.888833,19.288143,65.515877,2.587132
"2024070112","2024070112",114.17565580,22.24884730,3.000000,4.270466,0.598853,0.472346,3.159246,0.040021,20.882572,7.809124,8.539848,67.498917,2.525825
"2024070112","2024070112",114.17540100,22.24894990,3.000000,4.282056,0.601227,0.481032,3.160512,0.039285,20.970535,7.911171,8.722028,67.528656,2.473028
"2024070112","2024070112",114.17496190,22.24903270,3.000000,4.225644,0.581887,0.431543,3.173755,0.038459,20.277742,7.508785,7.557774,67.812553,2.413728
"2024070112","2024070112",114.17497670,22.24896900,3.000000,4.222917,0.581001,0.429377,3.174094,0.038444,20.243263,7.487662,7.502412,67.821304,2.412608
